"perceivedfree","independence","dog","cat","other","happy","serviceanimal"
1.98867259852777,2.77861928201928,0,1,0,6.35197602165683,"cat"
4.18804415448416,4.58942625122463,0,0,1,13.392739785649,"other"
3.81310075182269,5.42745163215777,1,0,0,14.9326640993157,"dog"
1.4693355886969,0.795907190267552,1,0,0,4.30751468617793,"dog"
4.07075267085387,7.83414974149943,0,0,1,21.4434647098982,"other"
4.7947619554697,-1.72125134266189,0,0,1,-2.03368523234699,"other"
2.98971349798984,2.40903174461471,0,0,1,5.60069751175286,"other"
1.14341728613015,-0.327613563172315,0,1,0,2.68855810270839,"cat"
1.98065623460293,2.11124054623083,0,1,0,5.2134250883549,"cat"
1.41256061781222,3.81922637357974,1,0,0,7.21292145270205,"dog"
3.32291127888474,2.99972114933152,0,1,0,9.34719997070317,"cat"
2.11806023473956,5.72028832578089,1,0,0,8.38021953409456,"dog"
3.88418003763039,-0.272988736621222,1,0,0,3.43300886145204,"dog"
1.79213680781167,2.39426988129002,0,0,1,4.23686908190546,"other"
1.09286152636836,1.28664571127594,0,1,0,4.01485459683993,"cat"
4.08550897063805,1.52552767654218,0,1,0,8.45048785901296,"cat"
0.991899667147816,-1.38785311823966,0,0,1,3.19744734519806,"other"
2.70839605035698,3.60223970053151,0,1,0,6.33946255377198,"cat"
2.6194671467747,4.03425987956168,1,0,0,9.14805118735849,"dog"
2.86146413762004,3.13074869912324,0,1,0,8.51430646520828,"cat"
1.46974984885871,4.12462275286709,0,1,0,5.04517267321868,"cat"
3.85373498426016,5.87616672016229,0,1,0,15.13833758545,"cat"
5.33737020604557,5.39406361225396,1,0,0,19.705582442823,"dog"
3.78050139883024,2.62880099207763,0,0,1,7.50184253561809,"other"
-1.10032715544765,-0.667283081889594,0,1,0,2.63188144877009,"cat"
1.41065542134271,5.14463239968348,0,0,1,8.27693979950884,"other"
1.56304355977936,2.78200136758195,0,1,0,4.75650613515711,"cat"
4.86740459787489,0.137844231668453,1,0,0,4.06511815845143,"dog"
3.53673069518546,3.23312997265739,0,0,1,9.44425983467062,"other"
0.750502734150574,1.8682053403221,0,0,1,2.55247933672808,"other"
0.782787608938381,2.6774076334794,0,1,0,3.34079815748261,"cat"
5.85950893443698,2.50062370245304,0,0,1,12.6168816585214,"other"
1.98399895995687,3.18219477156711,0,0,1,5.81393153083295,"other"
2.1908531099888,3.90179799519279,0,0,1,7.19924973690612,"other"
6.42899874016159,1.62950720328323,0,1,0,8.08880725704253,"cat"
5.34706979278153,3.62995281254389,1,0,0,15.215318943649,"dog"
5.82826074381706,3.10284958809669,0,1,0,14.1406610772138,"cat"
1.7637202811661,0.690145237775651,1,0,0,2.55089102656616,"dog"
2.98211632057312,4.34117209880207,1,0,0,8.72699597724073,"dog"
2.59040687508925,6.22356352982402,0,1,0,10.4873524837115,"cat"
2.20385411636691,-0.0820651283760641,0,1,0,4.01217161792023,"cat"
3.53226116501848,5.21592800742707,0,0,1,13.8457788673658,"other"
1.10326298604228,3.06944567822391,1,0,0,1.51304826865179,"dog"
4.30340881227552,1.66273564448102,1,0,0,7.9188544801027,"dog"
1.29244172456465,7.31369168676455,1,0,0,4.98873500498525,"dog"
3.15776788143635,1.64019084528102,1,0,0,5.29947337742481,"dog"
0.445231908220323,3.65433621365147,0,1,0,2.23168512621082,"cat"
5.87250720309487,4.46888265706488,1,0,0,19.584788994505,"dog"
5.03291928172955,5.0781738181265,1,0,0,18.7025520388876,"dog"
4.89232726000292,6.46334911947928,0,1,0,19.9250221801113,"cat"
1.92402795814861,2.19776194817976,0,1,0,5.8253798911424,"cat"
0.289509436137164,4.21996404234998,1,0,0,3.62248960328429,"dog"
3.38513718129299,6.25737513440533,0,0,1,12.7909574037074,"other"
5.42848663042923,5.57319441173233,1,0,0,21.1279334565594,"dog"
1.98906375360022,2.67641548103248,1,0,0,4.17822690469807,"dog"
3.9550477132847,5.64022294660182,1,0,0,16.5040878207945,"dog"
4.42789507480845,3.01710441082785,1,0,0,11.5034327617651,"dog"
2.23152749091563,2.75611206785964,1,0,0,4.65230391070917,"dog"
1.93650852512569,1.91643104444296,1,0,0,4.79001039329949,"dog"
0.490109970196955,2.64499471490425,0,1,0,2.77177392241513,"cat"
2.57590367262225,0.85890763659838,1,0,0,4.70266061138406,"dog"
4.05653398816533,0.106302962126587,0,1,0,3.90726453950527,"cat"
1.88187305898783,1.96175738322743,1,0,0,3.53904752662276,"dog"
5.4308140920282,-0.353760178690058,0,1,0,3.96494145638971,"cat"
2.59767747613744,2.35070743221819,0,1,0,5.99379015919295,"cat"
-0.697948166048562,0.211664578709026,1,0,0,1.64006009314042,"dog"
1.20017171036626,1.74223546865428,1,0,0,4.0482462558395,"dog"
2.40462610297537,1.02868690330263,0,0,1,3.48643259548656,"other"
4.41322572271387,3.19383357469013,1,0,0,11.9144864810391,"dog"
2.3485200491558,1.8481646361462,0,1,0,5.36258043283972,"cat"
0.133288941946056,2.75617317137781,0,1,0,1.07882368257584,"cat"
2.29204598974983,4.01136422541103,0,0,1,7.84329053825938,"other"
3.27068391024888,3.87684167204756,0,1,0,8.41339820611882,"cat"
3.6904970851992,3.98009092719324,0,0,1,9.83509576272831,"other"
4.66218803528386,5.60699307285862,0,1,0,16.8753804813573,"cat"
3.16858241485832,6.13579240314456,0,1,0,12.6300736167694,"cat"
5.96896286620173,5.89863866863981,1,0,0,22.5939832202845,"dog"
3.96196737903636,6.51767312026639,0,0,1,14.5096313502254,"other"
1.21762414829492,6.55577884594638,0,0,1,2.3766792444468,"other"
3.92526077413329,2.23913681464678,0,0,1,6.42940100440912,"other"
-1.52257782362359,3.22214222915444,0,1,0,-2.93728934245185,"cat"
1.8492025973093,1.88220268239743,1,0,0,6.5752175247867,"dog"
3.40138453118565,1.88702870152846,1,0,0,7.54163415271372,"dog"
4.67038576609655,0.865617778514743,1,0,0,5.63418149205974,"dog"
4.46481121307069,2.80433205858779,0,0,1,11.1657559564218,"other"
7.80419668034807,7.43593629317827,1,0,0,36.2547338439831,"dog"
2.53950951793641,5.34140532654581,1,0,0,10.1998456360483,"dog"
-0.99758122133802,2.97516005800081,0,1,0,0.563153938709443,"cat"
0.456431569903139,2.55881020683577,1,0,0,2.60266278091373,"dog"
2.04521472683024,3.59601407555263,0,0,1,6.36292990409404,"other"
-0.250539272343203,-0.237659548420792,0,1,0,3.57965702556668,"cat"
2.88354730283466,3.97924746677635,1,0,0,6.5754858647148,"dog"
3.03814607940957,3.0756826690586,1,0,0,6.85835764283914,"dog"
1.94214520106243,2.7825460715162,1,0,0,4.86245407749649,"dog"
5.88229324210461,6.31489644724603,0,1,0,23.9819890475441,"cat"
3.94724926412734,5.6100337770246,0,0,1,16.6359419807253,"other"
2.47799636894193,4.56700297433035,0,1,0,6.70707900461696,"cat"
0.985576890633823,1.04891527875896,0,0,1,3.64299101008078,"other"
2.03990131676151,0.115067733134717,1,0,0,2.77571934658636,"dog"
1.39192185184891,1.11394375256536,0,1,0,3.29172234730056,"cat"
